ID, VALUE_EN, VALUE_RU, VALUE_UK
"200882","","","6"
"200883","","","7А"
"200884","","","8"
"200885","","","9"
"200886","","","10"
"200887","","","10/2"
"200888","","","10А"
"200889","","","10Б"
"200890","","","11"
"200891","","","13"
"200892","","","13А"
"200893","","","13Б"
"200894","","","13В"
"200895","","","15"
"200896","","","16"
"200897","","","17"
"200898","","","18"
"200899","","","19"
"200900","","","20Б"
"200901","","","21"
"200902","","","22"
"200903","","","22А"
"200904","","","22Б"
"200905","","","23"
"200906","","","24"
"200907","","","28А"
"200908","","","28Б"
"200909","","","30"
"200910","","","30А"
"200911","","","32"
"200912","","","34"
"200913","","","34А"
"200914","","","34Б"
"200915","","","34В"
"200916","","","36"
"200917","","","38"
"200918","","","П1"
"200919","","","4"
"200920","","","Андрющенка Григорія вул."
"200921","","","4А"
"200922","","","4Б"
"200923","","","4Д"
"200924","","","6"
"200925","","","6В"
"200926","","","7/19"
"200927","","","1/3"
"200928","","","Анищенка вул."
"200929","","","2"
"200930","","","3"
"200931","","","3Б"
"200932","","","3В"
"200933","","","4"
"200934","","","5"
"200935","","","6"
"200936","","","7"
"200937","","","8"
"200938","","","8/15"
"200939","","","9"
"200940","","","10"
"200941","","","12"
"200942","","","14"
"200943","","","17"
"200944","","","2/32"
"200945","","","Антонова Авіаконструктора вул."
"200946","","","3"
"200947","","","4"
"200948","","","4/1"
"200949","4A","4А","4А"
"200950","","","5"
"200951","","","5Б"
"200952","","","7"
"200953","","","8"
"200954","","","9"
"200955","","","10"
"200956","","","11"
"200957","","","12"
"200958","","","12А"
"200959","","","13"
"200960","","","14"
"200961","","","15"
"200962","","","15А"
"200963","","","16"
"200964","","","17"
"200965","","","18"
"200966","","","20"
"200967","","","35"
"200968","","","37"
"200969","","","39"
"200970","","","41"
"200971","","","43"
"200972","","","45"
"200973","","","47"
"200974","","","91/14"
"200975","","","2"
"200976","","","Антонова вул. (Петр.Борщагівка)"
"200977","","","5"
"200978","","","БМ1"
"200979","","","7"
"200980","","","Антонова-Овсієнка вул."
"200981","","","9"
"200982","","","21"
"200983","","","25"
"200984","","","27"
"200985","","","29"
"200986","","","31"
"200987","","","33"
"200988","","","41"
"200989","","","1"
"200990","","","Ареф'Єва Костянтина вул."
"200991","","","2"
"200992","","","4"
"200993","","","4А"
"200994","","","4Б"
"200995","","","6"
"200996","","","7"
"200997","","","7А"
"200998","","","8"
"200999","","","8А"
"201000","","","9"
"201001","","","10"
"201002","","","11"
"201003","","","11А"
"201004","","","12"
"201005","","","13"
"201006","","","14"
"201007","","","14А"
"201008","","","15"
"201009","","","16"
"201010","","","16А"
"201011","","","17"
"201012","","","18"
"201013","","","18А"
"201014","","","18Б"
"201015","","","19"
"201016","","","19А"
"201017","","","20"
"201018","","","20А"
"201019","","","20Б"
"201020","","","21"
"201021","","","22"
"201022","","","24"
"201023","","","25"
"201024","","","25А"
"201025","","","26"
"201026","","","27А"
"201027","","","28"
"201028","","","28А"
"201029","","","29"
"201030","","","29А"
"201031","","","30"
"201032","","","31"
"201033","","","31Б"
"201034","","","32"
"201035","","","34"
"201036","","","35"
"201037","","","36"
"201038","","","38"
"201039","","","39"
"201040","","","40"
"201041","","","41"
"201042","","","42А"
"201043","","","44"
"201044","","","2/18"
"201045","","","Армійська вул."
"201046","","","3"
"201047","","","4"
"201048","","","5"
"201049","","","5А"
"201050","","","6"
"201051","","","7"
"201052","","","8"
"201053","","","9"
"201054","","","10"
"201055","","","11"
"201056","","","12"
"201057","","","13"
"201058","","","14"
"201059","","","15"
"201060","","","18"
"201061","","","20"
