ID, VALUE_EN, VALUE_RU, VALUE_UK
"100955","11","","11"
"100956","13","","13"
"100957","2","","2"
"100958","Amurs'ka vul.","","Амурська вул."
"100959","4","","4"
"100960","6","","6"
"100961","8","","8"
"100962","2/34","","2/34"
"100963","Amurs'ka pl.","","Амурська пл."
"100964","1/1","","1/1"
"100965","Andriivs'ka vul.","","Андріївська вул."
"100966","2","","2"
"100967","2/12","","2/12"
"100968","4","","4"
"100969","6/14","","6/14"
"100970","7","","7"
"100971","8/12","","8/12"
"100972","9","","9"
"100973","9A","","9А"
"100974","12","","12"
"100975","15","","15"
"100976","17","","17"
"100977","19","","19"
"100978","1","","1"
"100979","Andriivs'kii uzviz","","Андріївський узвіз"
"100980","2A","","2А"
"100981","2B","","2Б"
"100982","2V","","2В"
"100983","2G","","2Г"
"100984","2D","","2Д"
"100985","3","","3"
"100986","3A","","3А"
"100987","4","","4"
"100988","5/31","","5/31"
"100989","6","","6"
"100990","7A","","7А"
"100991","8","","8"
"100992","9","","9"
"100993","10","","10"
"100994","10/2","","10/2"
"100995","10A","","10А"
"100996","10B","","10Б"
"100997","11","","11"
"100998","13","","13"
"100999","13A","","13А"
"101000","13B","","13Б"
"101001","13V","","13В"
"101002","15","","15"
"101003","16","","16"
"101004","17","","17"
"101005","18","","18"
"101006","19","","19"
"101007","20B","","20Б"
"101008","21","","21"
"101009","22","","22"
"101010","22A","","22А"
"101011","22B","","22Б"
"101012","23","","23"
"101013","24","","24"
"101014","28A","","28А"
"101015","28B","","28Б"
"101016","30","","30"
"101017","30A","","30А"
"101018","32","","32"
"101019","34","","34"
"101020","34A","","34А"
"101021","34B","","34Б"
"101022","34V","","34В"
"101023","36","","36"
"101024","38","","38"
"101025","P1","","П1"
"101026","Andriya Pervozvannogo pl.","","Андрія Первозванного пл."
"101027","4","","4"
"101028","Andrushenka Grigoriya vul.","","Андрющенка Григорія вул."
"101029","4A","","4А"
"101030","4B","","4Б"
"101031","4D","","4Д"
"101032","6","","6"
"101033","6V","","6В"
"101034","7/19","","7/19"
"101035","1/3","","1/3"
"101036","Anishenka vul.","","Анищенка вул."
"101037","2","","2"
"101038","3","","3"
"101039","3B","","3Б"
"101040","3V","","3В"
"101041","4","","4"
"101042","5","","5"
"101043","6","","6"
"101044","7","","7"
"101045","8","","8"
"101046","8/15","","8/15"
