ID, COORDINATES_ID, GEO_OBJECT_TYPE_ID, I18NAME_ID, PARENT_ID
"13913","13913","100","114017","13911"
"13914","13914","100","114018","13911"
"13915","13915","100","114019","13911"
"13916","13916","100","114020","13911"
"13917","13917","100","114021","13911"
"13918","13918","100","114022","13911"
"13919","13919","100","114023","13911"
"13920","13920","100","114024","13911"
"13921","13921","100","114025","13911"
"13922","13922","100","114026","13911"
"13923","13923","100","114027","13911"
"13924","13924","100","114028","13911"
"13925","13925","100","114029","13911"
"13926","13926","100","114030","13911"
"13927","13927","100","114031","13911"
"13928","13928","100","114032","13911"
"13929","13929","100","114033","13911"
"13930","13930","100","114034","13911"
"13931","13931","100","114035","13911"
